"site","date","flux"
"X15",2011-05-30,23.364200675
"X15",2011-05-31,513.812988033
"X15",2011-06-01,270.943423738
"X15",2011-06-28,221.743290968
"X15",2011-07-30,24.786484213
"X15",2011-09-30,52.027276931
"X15",2011-10-01,16.069222036
"X15",2011-10-03,160.64745936
"X15",2011-11-03,192.5
"X15",2011-11-18,245.063461011
"X15",2011-11-30,19.565166572
"X15",2011-12-01,26.934391884
"X15",2012-01-15,98.321607926
"X15",2012-01-19,96.692411417
"X15",2012-01-20,38.314207521
"X15",2012-02-29,127.786847733
"X15",2012-03-01,91.10235186
"X15",2012-03-06,96.594281163
"X15",2012-03-12,166.246271467
"X15",2012-03-13,76.321898661
"X15",2012-03-31,223.536503058
"X15",2012-04-12,11.136036185
"X15",2012-04-23,81.966405868
"X15",2012-04-26,264.565027132
"X15",2012-05-14,99.699023835
"X15",2012-05-17,33.304170697
"X15",2012-05-24,18.919127497
"X15",2012-05-25,15.157667436
"X15",2012-06-04,390.032910019
"X15",2012-06-23,58.729607482
"X15",2012-06-24,40.511941465
"X15",2012-06-25,223.857704169
"X15",2012-07-12,10.788325717
"X15",2012-09-08,15.502700457
"X15",2012-10-22,69.356044873
"X15",2012-10-23,21.709077695
"X15",2012-11-08,485.960090286
"X15",2012-11-17,27.05818555
"X15",2012-11-18,11.204753421
"X15",2012-11-28,102.29968629
"X15",2012-11-29,670.857054496
"X15",2012-12-02,14.67448887
"X15",2012-12-21,209.487673888
"X15",2012-12-23,70.027312657
"X15",2013-03-05,41.895617804
"X15",2013-03-06,33.805958362
"X15",2013-04-14,22.245101486
"X15",2013-04-15,13.843130353
"X15",2013-06-10,46.623385735
"X15",2013-08-20,94.29722311
"X15",2013-09-21,157.103577757
"X15",2013-10-27,280.714476446
"X15",2013-10-28,20.658790552
"X15",2014-02-15,26.357053682
"X15",2014-03-10,39.640449436
"X15",2014-03-29,149.890988373
"X15",2014-04-22,45.603197675
"X15",2014-05-10,11.870155039
"X15",2014-05-18,25.738856587
"X15",2014-06-10,70.796996121
"X15",2014-09-25,206.305476865
"X15",2014-10-15,29.167095883
"X15",2014-10-21,10.94600395
"X15",2014-10-25,574.109238543
"X15",2014-10-31,61.115916951
"X15",2014-11-22,521.000133109
"X15",2014-11-28,182.511977636
"X15",2014-12-10,187.378663225
"X15",2014-12-11,578.233059175
"X15",2014-12-24,32.93454918
"X15",2014-12-29,23.610863317
"X15",2015-02-05,197.626628917
"X15",2015-02-06,388.982607269
"X15",2015-02-08,25.386020391
"X15",2015-04-05,407.587960997
"X15",2015-04-07,112.21297854
"X15",2015-04-13,146.665825313
"X15",2015-04-14,370.694467775
"X15",2015-05-03,21.625262941
"X15",2015-05-11,10.500455756
"X15",2015-05-12,195.478754735
"X15",2015-05-13,61.356717157
"X15",2015-05-20,16.365681369
"X15",2015-05-31,39.821671567
"X15",2015-07-30,25.551867646
"X15",2015-08-07,14.002245094
"X15",2015-08-08,24.97215686
"X15",2015-09-15,137.673175993
"X15",2015-09-16,62.796574768
"X15",2015-10-01,17.557609305
"X15",2015-11-15,217.589685196
"X15",2015-11-24,314.12038196
"X15",2015-12-03,151.125926812
"X15",2015-12-06,153.499632508
"X15",2015-12-10,311.746676265
"X15",2015-12-13,270.602444891
"X16",2011-02-14,31.507723155
"X16",2011-02-15,89.749582456
"X16",2011-02-16,37.513094117
"X16",2011-03-10,273.036224392
"X16",2011-03-15,171.163300274
"X16",2011-03-18,72.487553669
"X16",2011-04-02,22.385696357
"X16",2011-04-07,18.20764527
"X16",2011-04-20,38.86833836
"X16",2011-04-25,90.428243716
"X16",2011-04-28,179.957911353
"X16",2011-05-14,246.012139802
"X16",2011-05-15,107.432964558
"X16",2011-05-25,724.254177902
"X16",2011-05-28,157.32185337
"X16",2011-05-30,40.300619456
"X16",2011-05-31,352.013374907
"X16",2011-06-01,200.085823089
"X16",2011-06-04,45.377533916
"X16",2011-06-27,19.192799323
"X16",2011-06-28,393.242243961
"X16",2011-06-29,19.842323238
"X16",2011-07-18,101.925803966
"X16",2011-07-30,27.922687674
"X16",2011-08-26,15.733155762
"X16",2011-09-30,25.269984746
"X16",2011-10-01,37.240785789
"X16",2011-10-03,236.851397591
"X16",2011-10-04,19.019675545
"X16",2011-10-05,46.785176863
"X16",2011-11-03,495.823068148
"X16",2011-11-18,338.130170517
"X16",2011-11-30,16.505012545
"X16",2011-12-01,28.491095445
"X16",2012-01-15,70.519053254
"X16",2012-01-19,94.973743825
"X16",2012-01-20,56.611333513
"X16",2012-02-28,17.803157442
"X16",2012-02-29,187.710173444
"X16",2012-03-01,27.511641863
"X16",2012-03-06,74.99526706
"X16",2012-03-12,216.656314316
"X16",2012-03-13,74.286556232
"X16",2012-03-27,38.778128522
"X16",2012-03-31,370.684183617
"X16",2012-04-12,60.398331369
"X16",2012-04-23,44.517711779
"X16",2012-04-26,251.524242105
"X16",2012-05-14,229.15650994
"X16",2012-05-17,32.824665087
"X16",2012-05-24,38.210971019
"X16",2012-05-25,52.104062701
"X16",2012-06-04,436.916863668
"X16",2012-06-21,27.537737501
"X16",2012-06-22,17.530338851
"X16",2012-06-23,147.149505291
"X16",2012-06-24,43.706593121
"X16",2012-06-25,275.66557219
"X16",2012-07-19,18.638363278
"X16",2012-08-13,13.995998302
"X16",2012-10-22,146.858933585
"X16",2012-10-23,76.629167327
"X16",2012-10-31,21.175568172
"X16",2012-11-08,649.45821076
"X16",2012-11-17,38.337735334
"X16",2012-11-28,112.649054104
"X16",2012-11-29,820.310087933
"X16",2012-11-30,15.389768312
"X16",2012-12-01,16.898370599
"X16",2012-12-02,66.029193446
"X16",2012-12-11,50.553363925
"X16",2012-12-12,62.849991305
"X16",2012-12-20,22.472099192
"X16",2012-12-21,287.864603778
"X16",2012-12-23,84.643725716
"X16",2013-02-25,15.683388885
"X16",2013-03-05,53.616130327
"X16",2013-03-06,114.618336956
"X16",2013-04-04,19.877252838
"X16",2013-04-07,18.849662539
"X16",2013-04-14,22.852851744
"X16",2013-04-15,19.171178522
"X16",2013-06-10,41.455526848
"X16",2013-06-18,27.684382108
"X16",2013-06-19,32.314233869
"X16",2013-07-02,14.973011626
"X16",2013-08-18,10.781031107
"X16",2013-08-20,60.08250064
"X16",2013-09-05,12.1689789
"X16",2013-09-20,78.438598935
"X16",2013-09-21,272.536255967
"X16",2013-10-27,304.030183242
"X16",2013-10-28,50.868447744
"X16",2013-12-03,46.914508496
"X16",2014-02-15,98.789713421
"X16",2014-02-19,21.292750048
"X16",2014-03-10,19.270924278
"X16",2014-03-25,17.573353581
"X16",2014-03-29,413.822876577
"X16",2014-04-22,122.455861699
"X16",2014-04-25,155.650314615
"X16",2014-05-10,11.006170199
"X16",2014-05-18,24.182295802
"X16",2014-06-10,13.13051093
"X16",2014-09-25,286.890795818
"X16",2014-10-14,15.892517178
"X16",2014-10-15,79.043001543
"X16",2014-10-21,23.467838879
"X16",2014-10-25,482.328677467
"X16",2014-10-31,62.991941246
"X16",2014-11-22,354.754942432
"X16",2014-11-28,268.492655812
"X16",2014-11-29,183.622171498
"X16",2014-11-30,46.953076616
"X16",2014-12-03,55.720708568
"X16",2014-12-10,160.173131982
"X16",2014-12-11,379.642601979
"X16",2014-12-24,98.767346439
"X16",2014-12-29,33.843883305
"X16",2015-02-05,179.630901622
"X16",2015-02-06,371.000372196
"X16",2015-02-08,93.428695489
"X16",2015-02-09,30.574710703
"X16",2015-03-11,47.541562339
"X16",2015-03-23,15.591741673
"X16",2015-04-05,341.184250408
"X16",2015-04-07,98.546205384
"X16",2015-04-13,71.658061633
"X16",2015-04-14,347.23886802
"X16",2015-04-25,12.784209226
"X16",2015-05-12,132.919508656
"X16",2015-05-13,42.593882265
"X16",2015-05-31,73.996955358
"X16",2015-09-15,43.996564363
"X16",2015-09-16,73.745829347
"X16",2015-10-01,21.686102206
"X16",2015-11-08,32.752139009
"X16",2015-11-15,288.481545629
"X16",2015-11-24,265.823366531
"X16",2015-12-03,145.121018628
"X16",2015-12-06,75.934784903
"X16",2015-12-10,239.3453553
"X16",2015-12-13,133.954937547
"X17",2011-02-14,32.79855186
"X17",2011-02-15,65.37778181
"X17",2011-02-16,32.878304909
"X17",2011-03-10,372.228678429
"X17",2011-03-15,241.213909205
"X17",2011-03-18,62.227525577
"X17",2011-04-02,21.20178085
"X17",2011-04-07,12.6077952
"X17",2011-04-20,52.770518641
"X17",2011-04-25,93.91822465
"X17",2011-04-28,137.20827145
"X17",2011-05-14,226.521696175
"X17",2011-05-15,73.4305572
"X17",2011-05-25,1021.35454534
"X17",2011-05-28,244.84239855
"X17",2011-05-30,66.3386729
"X17",2011-05-31,642.505066505
"X17",2011-06-01,332.48135046
"X17",2011-06-04,46.445971721
"X17",2011-06-27,24.090936949
"X17",2011-06-28,597.36209091
"X17",2011-06-29,18.798552144
"X17",2011-07-18,150.246145053
"X17",2011-07-30,23.951780334
"X17",2011-08-26,25.968040474
"X17",2011-09-30,29.210977702
"X17",2011-10-01,44.292842662
"X17",2011-10-03,251.283330743
"X17",2011-10-04,15.588648058
"X17",2011-10-05,39.346639644
"X17",2011-11-03,528.333333338
"X17",2011-11-18,492.581893979
"X17",2011-11-30,24.754762126
"X17",2011-12-01,26.717239792
"X17",2012-01-15,62.1524904
"X17",2012-01-19,65.747682
"X17",2012-01-20,62.8912284
"X17",2012-02-24,26.4221958
"X17",2012-02-28,44.570526
"X17",2012-02-29,482.9130306
"X17",2012-03-01,32.1597276
"X17",2012-03-06,177.4448676
"X17",2012-03-12,675.3050304
"X17",2012-03-13,297.095799
"X17",2012-03-16,22.5068844
"X17",2012-03-23,43.462419
"X17",2012-03-27,138.636498
"X17",2012-03-31,1351.4472972
"X17",2012-04-10,20.290446114
"X17",2012-04-11,17.322405239
"X17",2012-04-12,77.911073035
"X17",2012-04-23,67.010589574
"X17",2012-04-25,24.539337967
"X17",2012-04-26,338.639330574
"X17",2012-05-14,616.3044888
"X17",2012-05-17,62.1032412
"X17",2012-05-24,86.9740872
"X17",2012-05-25,134.8689342
"X17",2012-06-01,13.1002872
"X17",2012-06-04,1411.605195
"X17",2012-06-21,200.1487488
"X17",2012-06-22,62.7681054
